2017-05-04 16:05:35.282 [main] INFO  cn.Application - Starting Application on localhost with PID 2683 (/Users/xp1104000/Workspaces/IDEProject/jiKonCloud/target/classes started by xp1104000 in /Users/xp1104000/Workspaces/IDEProject/jiKonCloud)
2017-05-04 16:05:40.058 [main] INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
2017-05-04 16:05:40.090 [main] INFO  org.apache.catalina.core.StandardService - Starting service Tomcat
2017-05-04 16:05:40.092 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.4
2017-05-04 16:05:40.353 [localhost-startStop-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2017-05-04 16:05:40.353 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4852 ms
2017-05-04 16:05:40.822 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'statViewServlet' to [/druid/*]
2017-05-04 16:05:40.824 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2017-05-04 16:05:40.830 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'metricFilter' to: [/*]
2017-05-04 16:05:40.830 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2017-05-04 16:05:40.830 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-05-04 16:05:40.830 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-05-04 16:05:40.830 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2017-05-04 16:05:40.830 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'webRequestLoggingFilter' to: [/*]
2017-05-04 16:05:40.831 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
2017-05-04 16:05:40.831 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'applicationContextIdFilter' to: [/*]
2017-05-04 16:05:43.888 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@ca93621: startup date [Thu May 04 16:05:35 CST 2017]; root of context hierarchy
2017-05-04 16:05:43.973 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/superManagerUser/addModule],methods=[POST]}" onto public java.lang.String cn.jikon.api.module.ModuleController.addModule(java.lang.String)
2017-05-04 16:05:43.974 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/superManagerUser/delModule],methods=[POST]}" onto public java.lang.String cn.jikon.api.module.ModuleController.delModule(java.lang.String)
2017-05-04 16:05:43.975 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/superManagerUser/updateModule],methods=[POST]}" onto public java.lang.String cn.jikon.api.module.ModuleController.updateModule(java.lang.String)
2017-05-04 16:05:43.975 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/superManagerUser/getModuleList],methods=[POST]}" onto public java.lang.String cn.jikon.api.module.ModuleController.getModuleList(java.lang.String)
2017-05-04 16:05:43.977 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/superManagerUser/getListSubSystem]}" onto public java.lang.String cn.jikon.api.supermanager.SuperManageUserController.getListSubSystem()
2017-05-04 16:05:43.977 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/superManagerUser/addSubSystem]}" onto public java.lang.String cn.jikon.api.supermanager.SuperManageUserController.addSuperManageUser(java.lang.String)
2017-05-04 16:05:43.977 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/superManagerUser/modifySubSystemBySubId]}" onto public java.lang.String cn.jikon.api.supermanager.SuperManageUserController.modifySubSystemBySubId(java.lang.String)
2017-05-04 16:05:43.977 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/superManagerUser/deleteSubSystemBySubIdList]}" onto public java.lang.String cn.jikon.api.supermanager.SuperManageUserController.deleteSubSystemBySubIdList(java.lang.String)
2017-05-04 16:05:43.980 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userCenter/login],methods=[POST]}" onto public java.lang.String cn.jikon.api.user.UserController.login(java.lang.String)
2017-05-04 16:05:43.980 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userCenter/getVerCode],methods=[POST]}" onto public java.lang.String cn.jikon.api.user.UserController.getVerCode(java.lang.String)
2017-05-04 16:05:43.981 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userCenter/getUserDetailById],methods=[POST]}" onto public java.lang.String cn.jikon.api.user.UserController.getUserDetailById(java.lang.String)
2017-05-04 16:05:43.981 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userCenter/updateUser],methods=[POST]}" onto public java.lang.String cn.jikon.api.user.UserController.updateUser(java.lang.String)
2017-05-04 16:05:43.981 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userCenter/checkPassword],methods=[POST]}" onto public java.lang.String cn.jikon.api.user.UserController.checkPassword(java.lang.String)
2017-05-04 16:05:43.982 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userCenter/updateUserPassword],methods=[POST]}" onto public java.lang.String cn.jikon.api.user.UserController.updateUserPassword(java.lang.String)
2017-05-04 16:05:43.982 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userCenter/getUserById],methods=[POST]}" onto public java.lang.String cn.jikon.api.user.UserController.getUserById(java.lang.String)
2017-05-04 16:05:43.986 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getManageUserBindList],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.AcessManageController.getManUserBindList(java.lang.String)
2017-05-04 16:05:43.986 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/bindSubsystemModule],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.AcessManageController.bindSubsystemModule(java.lang.String)
2017-05-04 16:05:43.987 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/unbindSubsystemModule],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.AcessManageController.unbindSubsystemModule(java.lang.String)
2017-05-04 16:05:43.989 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/managerUserLogin],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.ManageUserController.managerUserLogin(java.lang.String)
2017-05-04 16:05:43.989 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/registerManagerUser],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.ManageUserController.registerManagerUser(java.lang.String)
2017-05-04 16:05:43.990 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getUserList],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.ManageUserController.getUserList(java.lang.String)
2017-05-04 16:05:43.990 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getManageUserList],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.ManageUserController.getManageUserList(java.lang.String)
2017-05-04 16:05:43.990 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/activationUserApply],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.ManageUserController.activationUserApply(java.lang.String)
2017-05-04 16:05:43.991 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/activationManageUserApply],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.ManageUserController.activationManageUserApply(java.lang.String)
2017-05-04 16:05:43.991 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/delUser],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.ManageUserController.delUser(java.lang.String)
2017-05-04 16:05:43.991 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/updateOrganizationUserMap],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.ManageUserController.updateOrganizationUserMap(java.lang.String)
2017-05-04 16:05:43.992 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/addUser],methods=[POST]}" onto public java.lang.String cn.jikon.api.usermanage.ManageUserController.addUser(java.lang.String)
2017-05-04 16:05:43.996 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getOrganizationList]}" onto public java.lang.String cn.jikon.api.usermanage.OrganizationController.getOrganizationList(java.lang.String)
2017-05-04 16:05:43.996 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/addOrganization]}" onto public java.lang.String cn.jikon.api.usermanage.OrganizationController.addOrganization(java.lang.String)
2017-05-04 16:05:43.996 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/updateOrganization]}" onto public java.lang.String cn.jikon.api.usermanage.OrganizationController.updateOrganization(java.lang.String)
2017-05-04 16:05:43.997 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/delOrganization]}" onto public java.lang.String cn.jikon.api.usermanage.OrganizationController.delOrganization(java.lang.String)
2017-05-04 16:05:44.005 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getPrivilegeList]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getPrivilegeList(java.lang.String)
2017-05-04 16:05:44.006 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/modifyPrivilegeByPriId]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.modifyPrivilegeByPriId(java.lang.String)
2017-05-04 16:05:44.006 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/deletePrivilegeByPriIdList]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.deletePrivilegeByPriIdList(java.lang.String)
2017-05-04 16:05:44.006 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/addPrivilege]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.addPrivilege(java.lang.String)
2017-05-04 16:05:44.006 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getListUserRoleByUserId]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getListUserRoleByUserId(java.lang.String)
2017-05-04 16:05:44.007 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getRoleList]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getRoleList(java.lang.String)
2017-05-04 16:05:44.007 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/modifyRoleByRolId]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.modifyRoleByRolId(java.lang.String)
2017-05-04 16:05:44.007 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/deleteRoleByRolIdList]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.deleteRoleByRolIdList(java.lang.String)
2017-05-04 16:05:44.007 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getListAllRole]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getListAllRole(java.lang.String)
2017-05-04 16:05:44.008 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getListUserRoleMap]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getListUserRoleMap(java.lang.String)
2017-05-04 16:05:44.008 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getListExistedAndNoHaveUserRoleMap]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getListExistedAndNoHaveUserRoleMap(java.lang.String)
2017-05-04 16:05:44.008 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/addUserRoleMap]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.addUserRoleMap(java.lang.String)
2017-05-04 16:05:44.008 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/deleteUserRoleMapByUseId]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.deleteUserRoleMapByUseId(java.lang.String)
2017-05-04 16:05:44.009 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/updateUserRoleMapByUseId]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.updateUserRoleMapByUseId(java.lang.String)
2017-05-04 16:05:44.009 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getListPrivilegeRoleMap]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getListPrivilegeRoleMap(java.lang.String)
2017-05-04 16:05:44.009 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getListAllPrivilege]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getListAllPrivilege()
2017-05-04 16:05:44.009 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getListExistedAndNoHavePrivilegeRoleMap]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getListExistedAndNoHavePrivilegeRoleMap(java.lang.String)
2017-05-04 16:05:44.009 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/addPrivilegeRoleMap]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.addPrivilegeRoleMap(java.lang.String)
2017-05-04 16:05:44.010 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/deletePrivilegeRoleMapByPriId]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.deletePrivilegeRoleMapByPriId(java.lang.String)
2017-05-04 16:05:44.010 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/updatePrivilegeRoleMapByPriId]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.updatePrivilegeRoleMapByPriId(java.lang.String)
2017-05-04 16:05:44.010 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getListAllModule]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getListAllModule()
2017-05-04 16:05:44.010 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/getListModulePrivilegeMap]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.getListModulePrivilegeMap(java.lang.String)
2017-05-04 16:05:44.010 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/addModulePrivilegeMap]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.addModulePrivilegeMap(java.lang.String)
2017-05-04 16:05:44.010 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/deleteModulePrivilegeMapByPriId]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.deleteModulePrivilegeMapByPriId(java.lang.String)
2017-05-04 16:05:44.010 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/userManagerCenter/addRole]}" onto public java.lang.String cn.jikon.api.usermanage.PrivilegeManageController.addRole(java.lang.String)
2017-05-04 16:05:44.016 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-05-04 16:05:44.017 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-05-04 16:05:44.060 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Root mapping to handler of type [class org.springframework.web.servlet.mvc.ParameterizableViewController]
2017-05-04 16:05:44.088 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-05-04 16:05:44.088 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-05-04 16:05:44.141 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-05-04 16:05:44.689 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/heapdump || /heapdump.json],methods=[GET],produces=[application/octet-stream]}" onto public void org.springframework.boot.actuate.endpoint.mvc.HeapdumpMvcEndpoint.invoke(boolean,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException,javax.servlet.ServletException
2017-05-04 16:05:44.692 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/autoconfig || /autoconfig.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-05-04 16:05:44.692 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/beans || /beans.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-05-04 16:05:44.693 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/dump || /dump.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-05-04 16:05:44.694 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/mappings || /mappings.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-05-04 16:05:44.695 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/metrics/{name:.*}],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.MetricsMvcEndpoint.value(java.lang.String)
2017-05-04 16:05:44.695 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/metrics || /metrics.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-05-04 16:05:44.697 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/env/{name:.*}],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EnvironmentMvcEndpoint.value(java.lang.String)
2017-05-04 16:05:44.697 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/env || /env.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-05-04 16:05:44.699 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/info || /info.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-05-04 16:05:44.700 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/configprops || /configprops.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-05-04 16:05:44.701 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/health || /health.json],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.HealthMvcEndpoint.invoke(java.security.Principal)
2017-05-04 16:05:44.703 [main] INFO  o.s.b.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/trace || /trace.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-05-04 16:05:44.950 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2017-05-04 16:05:44.951 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2017-05-04 16:05:44.959 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2017-05-04 16:05:44.959 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Registering beans for JMX exposure on startup
2017-05-04 16:05:44.966 [main] INFO  o.s.context.support.DefaultLifecycleProcessor - Starting beans in phase 0
2017-05-04 16:05:44.977 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'requestMappingEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=requestMappingEndpoint]
2017-05-04 16:05:45.017 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'environmentEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=environmentEndpoint]
2017-05-04 16:05:45.024 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'healthEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=healthEndpoint]
2017-05-04 16:05:45.038 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'beansEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=beansEndpoint]
